Year,Location,Area,Rainfall,Temperature,Soil type,Irrigation,yeilds,Humidity,Crops,Inter Crop,price,Season,Land Size,Previous Crop,Crop Rotation Score,N,P,K,pH,Fertilizer,Soil Health Score
2006,Hassan,12885,3296,43,Red,Spray,177939,52.5,Coconut,Banana,200000,Rabi,3,Cardamum,2,166.5,14.4,168.4,5.84,MOP (Muriate of Potash),6.31
2006,Hassan,12885,3296,43,Red,Spray,177939,52.5,Coconut,Ginger,200000,Rabi,3,Blackgram,1,182.1,13.6,194.9,6.2,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.68
2006,Hassan,12885,3296,43,Red,Spray,177939,52.5,Coconut,Cardamum,200000,Rabi,3,Cocoa,2,173.8,14.8,181.6,5.86,MOP (Muriate of Potash),6.52
2006,Hassan,5864,2996.6,27,Loam,Drip,382,59.5,Coconut,Pepper,200000,Rabi,3,Groundnut,1,222.6,23.4,235.9,6.71,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2006,Hassan,5864,2996.6,27,Loam,Drip,382,59.5,Coconut,Cocoa,200000,Rabi,3,Ginger,2,205.7,18.9,237.3,6.92,MOP (Muriate of Potash),7.7
2006,Hassan,5864,2996.6,27,Loam,Drip,382,59.5,Coconut,Banana,200000,Rabi,3,Coffee,2,203.2,23.6,250.2,6.91,MOP (Muriate of Potash),7.4
2006,Hassan,5864,2996.6,27,Loam,Drip,382,59.5,Coconut,Ginger,200000,Rabi,3,Pepper,1,233.1,18.5,239.1,6.94,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2006,Hassan,5864,2996.6,27,Loam,Drip,382,59.5,Coconut,Cardamum,200000,Rabi,3,Cardamum,2,233.1,22.7,231.1,7.16,MOP (Muriate of Potash),7.4
2006,Hassan,3,3605.4,37,Alluvial,Drip,8700,50,Coconut,Pepper,249978,Rabi,3,Groundnut,1,225,27,248.5,6.62,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2006,Hassan,3,3605.4,37,Alluvial,Drip,8700,50,Coconut,Cocoa,249978,Rabi,3,Pepper,1,248.9,20.3,220.3,6.86,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.7
2006,Hassan,3,3605.4,37,Alluvial,Drip,8700,50,Coconut,Banana,249978,Rabi,3,Paddy,1,243.2,27.5,233.6,6.84,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2006,Hassan,3,3605.4,37,Alluvial,Drip,8700,50,Coconut,Ginger,249978,Rabi,3,Coffee,2,252.4,27.6,201.1,7.19,MOP (Muriate of Potash),7.27
2006,Hassan,3,3605.4,37,Alluvial,Drip,8700,50,Coconut,Cardamum,249978,Rabi,3,Blackgram,1,223.4,26.5,214,6.59,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.36
2006,Hassan,14464,233,42,Alluvial,Basin,3,59.5,Coconut,Pepper,203317,Rabi,3,Cocoa,2,237.6,25.2,219,6.54,MOP (Muriate of Potash),7.39
2006,Hassan,14464,233,42,Alluvial,Basin,3,59.5,Coconut,Cocoa,203317,Rabi,3,Cardamum,2,244,27.2,219.2,6.65,MOP (Muriate of Potash),7.69
2006,Hassan,14464,233,42,Alluvial,Basin,3,59.5,Coconut,Banana,203317,Rabi,3,Coffee,2,237.7,20.4,241,7.08,MOP (Muriate of Potash),7.4
2006,Hassan,14464,233,42,Alluvial,Basin,3,59.5,Coconut,Ginger,203317,Rabi,3,Pepper,1,243.5,22.8,240,6.89,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2006,Hassan,14464,233,42,Alluvial,Basin,3,59.5,Coconut,Cardamum,203317,Rabi,3,Cardamum,2,253,25.1,239.2,6.92,MOP (Muriate of Potash),7.4
2006,Hassan,4,3105,27,Red,Basin,56,50,Coconut,Pepper,44235,Rabi,3,Blackgram,1,176.6,15.7,181.6,6.22,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.71
2006,Hassan,4,3105,27,Red,Basin,56,50,Coconut,Cocoa,44235,Rabi,3,Coffee,2,168.8,13.8,182.9,5.93,MOP (Muriate of Potash),6.74
2006,Hassan,4,3105,27,Red,Basin,56,50,Coconut,Banana,44235,Rabi,3,Cashew,1,162.4,13.6,190.5,6.17,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.46
2006,Hassan,4,3105,27,Red,Basin,56,50,Coconut,Ginger,44235,Rabi,3,Paddy,1,169.1,14,163.2,6.11,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.37
2006,Hassan,4,3105,27,Red,Basin,56,50,Coconut,Cardamum,44235,Rabi,3,Cardamum,2,166.5,11.1,168.1,6.07,MOP (Muriate of Potash),6.14
2006,Hassan,2034,2746.2,38,Red,Basin,172475,55,Coconut,Pepper,234581,Rabi,3,Coffee,2,162,12.4,180.5,6.14,MOP (Muriate of Potash),6.28
2006,Hassan,2034,2746.2,38,Red,Basin,172475,55,Coconut,Cocoa,234581,Rabi,3,Groundnut,1,175.3,15,165.8,6.15,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.83
2006,Hassan,2034,2746.2,38,Red,Basin,172475,55,Coconut,Banana,234581,Rabi,3,Cocoa,2,162.5,10.4,183,6.2,MOP (Muriate of Potash),6.14
2006,Hassan,2034,2746.2,38,Red,Basin,172475,55,Coconut,Ginger,234581,Rabi,3,Arecanut,1,195.1,13.3,198.4,5.83,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.7
2006,Hassan,2034,2746.2,38,Red,Basin,172475,55,Coconut,Cardamum,234581,Rabi,3,Cocoa,2,163.9,10.3,167.4,6.18,MOP (Muriate of Potash),6.04
2006,Hassan,37,233,27,Black,Spray,3899,57,Coconut,Pepper,45608,Rabi,3,Blackgram,1,265.8,18.3,317.8,7.71,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.19
2006,Hassan,37,233,27,Black,Spray,3899,57,Coconut,Cocoa,45608,Rabi,3,Ginger,2,251.9,18.5,286.8,7.28,MOP (Muriate of Potash),7.7
2006,Hassan,37,233,27,Black,Spray,3899,57,Coconut,Banana,45608,Rabi,3,Cotton,1,244.9,21.1,289.8,7.41,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2006,Hassan,37,233,27,Black,Spray,3899,57,Coconut,Ginger,45608,Rabi,3,Cotton,1,279.6,22.1,318,7.29,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2006,Hassan,37,233,27,Black,Spray,3899,57,Coconut,Cardamum,45608,Rabi,3,Arecanut,1,255.3,21.3,283.1,7.2,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2006,Hassan,10723,2903.1,27,Alluvial,Drip,792,58,Coconut,Pepper,200000,Zaid,3,Cashew,1,246.8,25.1,220.5,6.84,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2006,Hassan,10723,2903.1,27,Alluvial,Drip,792,58,Coconut,Cocoa,200000,Zaid,3,Blackgram,1,236.6,20.2,216.8,6.62,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.68
2006,Hassan,10723,2903.1,27,Alluvial,Drip,792,58,Coconut,Banana,200000,Zaid,3,Blackgram,1,223.9,27.7,230,7.01,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2006,Hassan,10723,2903.1,27,Alluvial,Drip,792,58,Coconut,Ginger,200000,Zaid,3,Coffee,2,232.6,23.1,211.8,6.57,MOP (Muriate of Potash),7.34
2006,Hassan,10723,2903.1,27,Alluvial,Drip,792,58,Coconut,Cardamum,200000,Zaid,3,Ginger,2,227.2,26.4,233.9,6.88,MOP (Muriate of Potash),7.4
2006,Hassan,6441,3654,40,Sandy loam,Drip,21400,52,Coconut,Pepper,234779,Zaid,3,Pepper,1,179,19.5,182.9,6.42,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.94
2006,Hassan,6441,3654,40,Sandy loam,Drip,21400,52,Coconut,Cocoa,234779,Zaid,3,Cocoa,2,174,18.7,219.7,6.39,MOP (Muriate of Potash),7.44
2006,Hassan,6441,3654,40,Sandy loam,Drip,21400,52,Coconut,Banana,234779,Zaid,3,Cardamum,2,195,19,189,6.52,MOP (Muriate of Potash),7.14
2006,Hassan,6441,3654,40,Sandy loam,Drip,21400,52,Coconut,Ginger,234779,Zaid,3,Cocoa,2,176.4,19.9,187.2,6.84,MOP (Muriate of Potash),6.94
2006,Hassan,6441,3654,40,Sandy loam,Drip,21400,52,Coconut,Cardamum,234779,Zaid,3,Ginger,2,173.4,18.4,196.8,6.66,MOP (Muriate of Potash),6.98
2006,Hassan,7856,323,27,Sandy loam,Drip,17690,53.5,Coconut,Pepper,216396,Zaid,3,Cocoa,2,193.3,18.8,214.7,6.25,MOP (Muriate of Potash),7.3
2006,Hassan,7856,323,27,Sandy loam,Drip,17690,53.5,Coconut,Cocoa,216396,Zaid,3,Blackgram,1,187.7,14.8,196.6,6.64,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.15
2006,Hassan,7856,323,27,Sandy loam,Drip,17690,53.5,Coconut,Banana,216396,Zaid,3,Cashew,1,176.1,17.1,219.9,6.31,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.09
2006,Hassan,7856,323,27,Sandy loam,Drip,17690,53.5,Coconut,Ginger,216396,Zaid,3,Cocoa,2,187,16.4,185.3,6.33,MOP (Muriate of Potash),6.9
2006,Hassan,7856,323,27,Sandy loam,Drip,17690,53.5,Coconut,Cardamum,216396,Zaid,3,Coffee,2,198,19.3,216.3,6.99,MOP (Muriate of Potash),7.35
2006,Hassan,11,3729.8,27.1,Sandy,Drip,109506,52,Coconut,Pepper,24848,Zaid,3,Cotton,1,108.3,8.1,126.8,6.39,FYM (Farm Yard Manure) + MOP (Muriate of Potash),4.02
2006,Hassan,11,3729.8,27.1,Sandy,Drip,109506,52,Coconut,Cocoa,24848,Zaid,3,Cardamum,2,116.7,8.1,123.8,6.46,MOP (Muriate of Potash),5.39
2006,Hassan,11,3729.8,27.1,Sandy,Drip,109506,52,Coconut,Banana,24848,Zaid,3,Tea,1,106.5,8.8,122.1,6.46,FYM (Farm Yard Manure) + MOP (Muriate of Potash),4.03
2006,Hassan,11,3729.8,27.1,Sandy,Drip,109506,52,Coconut,Ginger,24848,Zaid,3,Cocoa,2,108.4,10.5,101,6.28,MOP (Muriate of Potash),5.05
2006,Hassan,11,3729.8,27.1,Sandy,Drip,109506,52,Coconut,Cardamum,24848,Zaid,3,Cocoa,2,131.2,9.4,110.4,6.56,MOP (Muriate of Potash),5.25
2007,Hassan,177,2903.1,26.8,Sandy,Drip,4279,53,Coconut,Pepper,4847,Kharif,3,Coffee,2,122.7,10.8,129.4,6.49,MOP (Muriate of Potash),5.41
2007,Hassan,177,2903.1,26.8,Sandy,Drip,4279,53,Coconut,Cocoa,4847,Kharif,3,Cardamum,2,119.5,6.8,110.5,6.34,MOP (Muriate of Potash),5.22
2007,Hassan,177,2903.1,26.8,Sandy,Drip,4279,53,Coconut,Banana,4847,Kharif,3,Blackgram,1,124,9.1,111.5,6.01,FYM (Farm Yard Manure) + MOP (Muriate of Potash),4.16
2007,Hassan,177,2903.1,26.8,Sandy,Drip,4279,53,Coconut,Ginger,4847,Kharif,3,Cardamum,2,119.8,7.7,129.4,6.02,MOP (Muriate of Potash),5.12
2007,Hassan,177,2903.1,26.8,Sandy,Drip,4279,53,Coconut,Cardamum,4847,Kharif,3,Cardamum,2,123.4,11.6,107,6.38,MOP (Muriate of Potash),5.33
2007,Hassan,326,3550,27,Sandy loam ,Drip,121037,57,Coconut,Pepper,203317,Rabi,3,Cotton,1,163.7,17.8,202,6.53,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.9
2007,Hassan,326,3550,27,Sandy loam ,Drip,121037,57,Coconut,Cocoa,203317,Rabi,3,Pepper,1,180.9,19.4,187.9,6.22,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.29
2007,Hassan,326,3550,27,Sandy loam ,Drip,121037,57,Coconut,Banana,203317,Rabi,3,Coffee,2,194.5,17.5,215.6,6.68,MOP (Muriate of Potash),7.27
2007,Hassan,326,3550,27,Sandy loam ,Drip,121037,57,Coconut,Ginger,203317,Rabi,3,Tea,1,192.4,16.6,210,6.93,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.14
2007,Hassan,326,3550,27,Sandy loam ,Drip,121037,57,Coconut,Cardamum,203317,Rabi,3,Blackgram,1,182.9,15.1,190.8,6.36,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.79
2007,Hassan,725,321,27.1,Sandy loam ,Basin,8838,57,Coconut,Pepper,234581,Rabi,3,Cocoa,2,169.9,15.8,202.2,6.67,MOP (Muriate of Potash),6.79
2007,Hassan,725,321,27.1,Sandy loam ,Basin,8838,57,Coconut,Cocoa,234581,Rabi,3,Groundnut,1,177.1,17.7,183.3,6.27,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.2
2007,Hassan,725,321,27.1,Sandy loam ,Basin,8838,57,Coconut,Banana,234581,Rabi,3,Tea,1,166.9,17.1,188.6,6.43,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.78
2007,Hassan,725,321,27.1,Sandy loam ,Basin,8838,57,Coconut,Ginger,234581,Rabi,3,Paddy,1,176,18.9,180.6,6.72,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.89
2007,Hassan,725,321,27.1,Sandy loam ,Basin,8838,57,Coconut,Cardamum,234581,Rabi,3,Cotton,1,186.8,18.8,217.3,6.22,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.25
2007,Hassan,160,3522.8,40,Sandy loam ,Basin,19,57,Coconut,Pepper,234779,Rabi,3,Cardamum,2,166.2,19.3,198.3,6.65,MOP (Muriate of Potash),6.91
2007,Hassan,160,3522.8,40,Sandy loam ,Basin,19,57,Coconut,Cocoa,234779,Rabi,3,Coffee,2,186.5,18.1,217.3,7,MOP (Muriate of Potash),7.55
2007,Hassan,160,3522.8,40,Sandy loam ,Basin,19,57,Coconut,Banana,234779,Rabi,3,Ginger,2,188.8,15.7,215.2,6.24,MOP (Muriate of Potash),7.06
2007,Hassan,160,3522.8,40,Sandy loam ,Basin,19,57,Coconut,Ginger,234779,Rabi,3,Tea,1,169.2,19.4,190.2,6.38,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.89
2007,Hassan,160,3522.8,40,Sandy loam ,Basin,19,57,Coconut,Cardamum,234779,Rabi,3,Groundnut,1,165.5,19.2,200,6.74,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.92
2007,Hassan,51179,3296,43,Red,Spray,313547,56,Coconut,Pepper,4847,Rabi,3,Tea,1,169.6,14.5,190.4,6.02,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.6
2007,Hassan,51179,3296,43,Red,Spray,313547,56,Coconut,Cocoa,4847,Rabi,3,Tea,1,176.4,11.3,199.1,6.25,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.76
2007,Hassan,51179,3296,43,Red,Spray,313547,56,Coconut,Banana,4847,Rabi,3,Coffee,2,197.4,11.8,191.3,6.34,MOP (Muriate of Potash),6.66
2007,Hassan,51179,3296,43,Red,Spray,313547,56,Coconut,Ginger,4847,Rabi,3,Cardamum,2,187.7,15.8,175.7,5.89,MOP (Muriate of Potash),6.72
2007,Hassan,51179,3296,43,Red,Spray,313547,56,Coconut,Cardamum,4847,Rabi,3,Ginger,2,186.9,14.4,183,5.94,MOP (Muriate of Potash),6.68
2007,Hassan,7028,2996.6,27,Loam,Drip,19578,55,Coconut,Pepper,4847,Rabi,3,Paddy,1,220.2,19.9,237.1,6.95,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2007,Hassan,7028,2996.6,27,Loam,Drip,19578,55,Coconut,Cocoa,4847,Rabi,3,Coffee,2,229.8,19.4,236.2,6.69,MOP (Muriate of Potash),7.7
2007,Hassan,7028,2996.6,27,Loam,Drip,19578,55,Coconut,Banana,4847,Rabi,3,Ginger,2,207.9,22.7,256.4,6.76,MOP (Muriate of Potash),7.4
2007,Hassan,7028,2996.6,27,Loam,Drip,19578,55,Coconut,Ginger,4847,Rabi,3,Ginger,2,230.1,23.4,253.8,6.63,MOP (Muriate of Potash),7.4
2007,Hassan,7028,2996.6,27,Loam,Drip,19578,55,Coconut,Cardamum,4847,Rabi,3,Coffee,2,238.3,20.3,233.6,6.54,MOP (Muriate of Potash),7.4
2007,Hassan,17,3605.4,37,Alluvial,Drip,41266,54,Coconut,Pepper,637,Rabi,3,Ginger,2,239.4,20.9,212.4,6.72,MOP (Muriate of Potash),7.35
2007,Hassan,17,3605.4,37,Alluvial,Drip,41266,54,Coconut,Cocoa,637,Rabi,3,Blackgram,1,252.4,27,215.1,7.1,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.67
2007,Hassan,17,3605.4,37,Alluvial,Drip,41266,54,Coconut,Banana,637,Rabi,3,Paddy,1,254.3,26.1,207.3,6.98,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.31
2007,Hassan,17,3605.4,37,Alluvial,Drip,41266,54,Coconut,Ginger,637,Rabi,3,Ginger,2,257.8,25.5,216.6,6.85,MOP (Muriate of Potash),7.38
2007,Hassan,17,3605.4,37,Alluvial,Drip,41266,54,Coconut,Cardamum,637,Rabi,3,Paddy,1,245.8,24.1,206,6.72,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.3
2007,Hassan,14876,233,42,Alluvial,Basin,95,55,Coconut,Pepper,2134,Rabi,3,Cardamum,2,252.1,26.9,206.9,7.17,MOP (Muriate of Potash),7.31
2007,Hassan,14876,233,42,Alluvial,Basin,95,55,Coconut,Cocoa,2134,Rabi,3,Coffee,2,233.2,25.3,237.6,7.07,MOP (Muriate of Potash),7.7
2007,Hassan,14876,233,42,Alluvial,Basin,95,55,Coconut,Banana,2134,Rabi,3,Cardamum,2,257.8,22.5,242.9,6.59,MOP (Muriate of Potash),7.4
2007,Hassan,14876,233,42,Alluvial,Basin,95,55,Coconut,Ginger,2134,Rabi,3,Paddy,1,248.2,25.9,233.9,6.68,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2007,Hassan,14876,233,42,Alluvial,Basin,95,55,Coconut,Cardamum,2134,Rabi,3,Ginger,2,254.9,21.4,202.7,7,MOP (Muriate of Potash),7.28
2007,Hassan,1122,326,27,Red,Basin,26,54,Coconut,Pepper,203317,Rabi,3,Coffee,2,179,15.1,175.3,5.92,MOP (Muriate of Potash),6.59
2007,Hassan,1122,326,27,Red,Basin,26,54,Coconut,Cocoa,203317,Rabi,3,Cotton,1,193.5,13.3,167.6,6.3,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.89
2007,Hassan,1122,326,27,Red,Basin,26,54,Coconut,Banana,203317,Rabi,3,Ginger,2,180.4,13.6,178.4,6.38,MOP (Muriate of Potash),6.55
2007,Hassan,1122,326,27,Red,Basin,26,54,Coconut,Ginger,203317,Rabi,3,Cocoa,2,193.2,14.3,164.2,6.39,MOP (Muriate of Potash),6.64
2007,Hassan,1122,326,27,Red,Basin,26,54,Coconut,Cardamum,203317,Rabi,3,Blackgram,1,186.8,14.2,174.5,6.42,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.64
2007,Hassan,2035,2746.2,38,Red,Basin,177939,53,Coconut,Pepper,646,Rabi,3,Groundnut,1,189,10.7,176.3,6.42,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.38
2007,Hassan,2035,2746.2,38,Red,Basin,177939,53,Coconut,Cocoa,646,Rabi,3,Cashew,1,161.9,15.8,187.2,6.24,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.91
2007,Hassan,2035,2746.2,38,Red,Basin,177939,53,Coconut,Banana,646,Rabi,3,Cocoa,2,170.8,11.5,197.7,6.01,MOP (Muriate of Potash),6.41
2007,Hassan,2035,2746.2,38,Red,Basin,177939,53,Coconut,Ginger,646,Rabi,3,Cardamum,2,191,12.4,165.6,5.81,MOP (Muriate of Potash),6.35
2007,Hassan,2035,2746.2,38,Red,Basin,177939,53,Coconut,Cardamum,646,Rabi,3,Blackgram,1,181.8,15.9,174.8,6.05,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.73
2007,Hassan,35,234,27.2,Black,Spray,4015,54,Coconut,Pepper,234581,Rabi,3,Cocoa,2,253.8,21.1,297.6,7.73,MOP (Muriate of Potash),7.17
2007,Hassan,35,234,27.2,Black,Spray,4015,54,Coconut,Cocoa,234581,Rabi,3,Coffee,2,260.2,21,285.5,7.79,MOP (Muriate of Potash),7.41
2007,Hassan,35,234,27.2,Black,Spray,4015,54,Coconut,Banana,234581,Rabi,3,Cotton,1,250,18.4,306.5,7.56,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.34
2007,Hassan,35,234,27.2,Black,Spray,4015,54,Coconut,Ginger,234581,Rabi,3,Arecanut,1,256.6,20.5,311.4,7.32,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2007,Hassan,35,234,27.2,Black,Spray,4015,54,Coconut,Cardamum,234581,Rabi,3,Cocoa,2,272.8,21.9,296.8,7.47,MOP (Muriate of Potash),7.4
2007,Hassan,51709,2903.1,27,Alluvial,Drip,34153,58,Coconut,Pepper,4847,Zaid,3,Paddy,1,230.3,26,225.6,6.72,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2007,Hassan,51709,2903.1,27,Alluvial,Drip,34153,58,Coconut,Cocoa,4847,Zaid,3,Cotton,1,243.8,28,221.8,7.14,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.7
2007,Hassan,51709,2903.1,27,Alluvial,Drip,34153,58,Coconut,Banana,4847,Zaid,3,Cashew,1,233.8,20.4,210.2,6.79,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.33
2007,Hassan,51709,2903.1,27,Alluvial,Drip,34153,58,Coconut,Ginger,4847,Zaid,3,Pepper,1,228.8,20,245.8,7.09,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.4
2007,Hassan,51709,2903.1,27,Alluvial,Drip,34153,58,Coconut,Cardamum,4847,Zaid,3,Cocoa,2,249.7,21.3,206,6.55,MOP (Muriate of Potash),7.3
2007,Hassan,4012,3654,40,Sandy loam,Drip,122102,51,Coconut,Pepper,1493,Zaid,3,Blackgram,1,189,19.6,197.2,6.3,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.13
2007,Hassan,4012,3654,40,Sandy loam,Drip,122102,51,Coconut,Cocoa,1493,Zaid,3,Cashew,1,180.5,16.1,195,6.7,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.18
2007,Hassan,4012,3654,40,Sandy loam,Drip,122102,51,Coconut,Banana,1493,Zaid,3,Cocoa,2,188.7,14.7,181.4,7,MOP (Muriate of Potash),6.75
2007,Hassan,4012,3654,40,Sandy loam,Drip,122102,51,Coconut,Ginger,1493,Zaid,3,Groundnut,1,169.3,14.3,187.6,6.23,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.56
2007,Hassan,4012,3654,40,Sandy loam,Drip,122102,51,Coconut,Cardamum,1493,Zaid,3,Groundnut,1,175.7,18.8,193.6,6.56,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.98
2007,Hassan,32,324,27.2,Sandy loam,Drip,7157,52.5,Coconut,Pepper,2644,Zaid,3,Cardamum,2,187,17.1,214.5,6.89,MOP (Muriate of Potash),7.16
2007,Hassan,32,324,27.2,Sandy loam,Drip,7157,52.5,Coconut,Cocoa,2644,Zaid,3,Ginger,2,160.4,18.7,198.4,6.99,MOP (Muriate of Potash),7.16
2007,Hassan,32,324,27.2,Sandy loam,Drip,7157,52.5,Coconut,Banana,2644,Zaid,3,Groundnut,1,179.3,19.9,210.2,6.4,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.13
2007,Hassan,32,324,27.2,Sandy loam,Drip,7157,52.5,Coconut,Ginger,2644,Zaid,3,Ginger,2,181.5,20,214.3,6.28,MOP (Muriate of Potash),7.18
2007,Hassan,32,324,27.2,Sandy loam,Drip,7157,52.5,Coconut,Cardamum,2644,Zaid,3,Coffee,2,188.3,16.1,180.3,6.52,MOP (Muriate of Potash),6.85
2007,Hassan,4,3729.8,26.8,Sandy,Drip,114,51,Coconut,Pepper,761,Zaid,3,Cardamum,2,109.4,10.9,113.5,6.66,MOP (Muriate of Potash),5.18
2007,Hassan,4,3729.8,26.8,Sandy,Drip,114,51,Coconut,Cocoa,761,Zaid,3,Pepper,1,100,7.8,109.6,6.19,FYM (Farm Yard Manure) + MOP (Muriate of Potash),4.1
2007,Hassan,4,3729.8,26.8,Sandy,Drip,114,51,Coconut,Banana,761,Zaid,3,Arecanut,1,102.7,7.1,122.2,6.23,FYM (Farm Yard Manure) + MOP (Muriate of Potash),3.85
2007,Hassan,4,3729.8,26.8,Sandy,Drip,114,51,Coconut,Ginger,761,Zaid,3,Cocoa,2,116.7,8.3,135,6.72,MOP (Muriate of Potash),5.18
2007,Hassan,4,3729.8,26.8,Sandy,Drip,114,51,Coconut,Cardamum,761,Zaid,3,Cocoa,2,119.7,8,104.3,6.76,MOP (Muriate of Potash),4.97
2008,Hassan,51,2903.1,26.8,Sandy,Drip,4167,53.5,Coconut,Pepper,51239,Kharif,3,Blackgram,1,102.4,7.8,111.9,6.26,FYM (Farm Yard Manure) + MOP (Muriate of Potash),3.84
2008,Hassan,51,2903.1,26.8,Sandy,Drip,4167,53.5,Coconut,Cocoa,51239,Kharif,3,Blackgram,1,106.6,10.7,104.9,6.51,FYM (Farm Yard Manure) + MOP (Muriate of Potash),4.37
2008,Hassan,51,2903.1,26.8,Sandy,Drip,4167,53.5,Coconut,Banana,51239,Kharif,3,Tea,1,105,6.4,136.4,6.15,FYM (Farm Yard Manure) + MOP (Muriate of Potash),3.91
2008,Hassan,51,2903.1,26.8,Sandy,Drip,4167,53.5,Coconut,Ginger,51239,Kharif,3,Cocoa,2,132.9,9.3,103.1,6.76,MOP (Muriate of Potash),5.21
2008,Hassan,51,2903.1,26.8,Sandy,Drip,4167,53.5,Coconut,Cardamum,51239,Kharif,3,Cocoa,2,109.9,11.2,106.8,6.68,MOP (Muriate of Potash),5.16
2008,Hassan,6470,3654,27.2,Sandy loam ,Drip,231,57.5,Coconut,Pepper,2134,Rabi,3,Coffee,2,160.5,17.1,210.8,6.95,MOP (Muriate of Potash),6.87
2008,Hassan,6470,3654,27.2,Sandy loam ,Drip,231,57.5,Coconut,Cocoa,2134,Rabi,3,Cocoa,2,196.4,18.9,215.5,6.36,MOP (Muriate of Potash),7.63
2008,Hassan,6470,3654,27.2,Sandy loam ,Drip,231,57.5,Coconut,Banana,2134,Rabi,3,Cardamum,2,171.4,15.7,195.1,6.51,MOP (Muriate of Potash),6.75
2008,Hassan,6470,3654,27.2,Sandy loam ,Drip,231,57.5,Coconut,Ginger,2134,Rabi,3,Cocoa,2,181.8,15,207.6,6.33,MOP (Muriate of Potash),6.88
2008,Hassan,6470,3654,27.2,Sandy loam ,Drip,231,57.5,Coconut,Cardamum,2134,Rabi,3,Pepper,1,172.4,17,211.9,6.79,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.99
2008,Hassan,12885,3654,26.8,Sandy loam ,Basin,8954,60,Coconut,Pepper,646,Rabi,3,Cocoa,2,185.8,14.9,201.9,6.27,MOP (Muriate of Potash),6.88
2008,Hassan,12885,3654,26.8,Sandy loam ,Basin,8954,60,Coconut,Cocoa,646,Rabi,3,Blackgram,1,175.1,16.5,181.6,6.42,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.06
2008,Hassan,12885,3654,26.8,Sandy loam ,Basin,8954,60,Coconut,Banana,646,Rabi,3,Cardamum,2,198.2,19.7,194.1,6.23,MOP (Muriate of Potash),7.21
